SessionID,date,string,latency (mSec),comment
ID081111m,2014-08-11 11:34:37 +0000,6,384.71525,morning coffee 30min after wake up
ID081111m,2014-08-11 11:34:46 +0000,4,371.423958,morning coffee 30min after wake up
ID081111m,2014-08-11 11:34:49 +0000,2,415.989833,morning coffee 30min after wake up
ID081111m,2014-08-11 11:34:52 +0000,5,382.753667,morning coffee 30min after wake up
ID081111m,2014-08-11 11:34:55 +0000,4,381.973833,morning coffee 30min after wake up
ID081111m,2014-08-11 11:34:57 +0000,1,416.077292,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:04 +0000,5,398.989125,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:06 +0000,4,415.730958,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:09 +0000,5,549.445667,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:12 +0000,4,347.574292,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:15 +0000,6,399.588542,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:18 +0000,6,398.409792,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:21 +0000,6,364.858583,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:23 +0000,4,415.396083,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:26 +0000,4,380.716875,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:29 +0000,1,448.439042,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:32 +0000,6,416.79275,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:35 +0000,6,382.125042,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:38 +0000,5,450.231667,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:40 +0000,6,449.218583,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:43 +0000,4,415.510542,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:46 +0000,4,399.666958,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:49 +0000,5,382.889667,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:54 +0000,5,415.556875,morning coffee 30min after wake up
ID081111m,2014-08-11 11:35:57 +0000,5,363.557,morning coffee 30min after wake up
